ngram,company,value
alexa_using,Black  Spot,1
alexa_variety,Black  Dot,2
alexa_viola,Black,1
alexa_voice,Black  Show,1
alexa_voice,Configuration: Fire TV Stick,6
alexa_wa,Black,1
alexa_wa,Black  Plus,1
alexa_wake,Black  Dot,2
alexa_wake,Black  Spot,1
alexa_wake,White  Spot,1
alexa_want,Black  Show,1
alexa_way,White,1
alexa_wifi,Black  Dot,2
alexa_woke,White  Dot,2
alexa_work,Black,1
alexa_work,Black  Dot,2
alexa_work,Black  Plus,2
alexa_work,Configuration: Fire TV Stick,1
alexa_working,Black,1
alexa_world,Black  Plus,1
alexa_would,Black  Plus,1
alexa_would,Black  Show,1
alexa_would,White,2
alexa_yet,Black  Plus,1
alexa_yet,Heather Gray Fabric ,2
alexa_youre,Black  Plus,1
alexa_learn ,Sandstone Fabric ,2
alexaalso_easy,Configuration: Fire TV Stick,1
